dong_cd,sgg_cd,sgg_nm,emd_nm,pop_0,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_0_6,pop_0_2,pop_3_6,capacity,enrolled,fac_cnt,cc_capacity,cc_enrolled,cc_cnt,kg_capacity,kg_enrolled,kg_cnt,public_capacity,public_cnt,private_capacity,private_cnt,coverage,fill,usage,public_share,infant_ratio,quadrant,in_all,in_child,in_child_hh,in_child_gp,in_child_0_2,in_child_gpcare,in_child_reason_가족,in_child_reason_교육,in_child_reason_기타,in_child_reason_자연환경,in_child_reason_주거환경,in_child_reason_주택,in_child_reason_직업,out_all,out_child,out_child_hh,out_child_gp,out_child_0_2,out_child_gpcare,out_child_reason_가족,out_child_reason_교육,out_child_reason_기타,out_child_reason_자연환경,out_child_reason_주거환경,out_child_reason_주택,out_child_reason_직업,net_all,net_child,net_child_hh,in_rate,out_rate,net_rate,turnover_rate,churn_ratio,in_share_직업,in_share_가족,in_share_주택,in_share_교육,in_share_주거환경,in_share_자연환경,in_share_기타,gpcare_share_in,headless_share_in,small_denom,analysis_ok
2711051700,27110,중구,동인동,94,106,78,60,69,34,38,479,278,201,311.0,240.0,6.0,275.0,230.0,5.0,36.0,10.0,1.0,138.0,3.0,173.0,3.0,0.6492693110647182,0.7717041800643086,0.5010438413361169,0.4437299035369775,1.3830845771144278,물리적부족,6783,367.0,323.0,2.0,225.0,11.0,70.0,9.0,14.0,0.0,15.0,230.0,29.0,4810,167.0,117.0,0.0,96.0,20.0,58.0,10.0,8.0,1.0,6.0,62.0,22.0,1973,200.0,206.0,0.7661795407098121,0.348643006263048,0.4175365344467641,1.11482254697286,0.4550408719346049,0.07901907356948229,0.1907356948228883,0.6267029972752044,0.02452316076294278,0.04087193460490463,0.0,0.03814713896457766,0.02997275204359673,0.11989100817438691,False,True
2711054500,27110,중구,삼덕동,47,53,32,40,33,36,35,276,132,144,105.0,63.0,3.0,45.0,41.0,1.0,60.0,22.0,2.0,60.0,2.0,45.0,1.0,0.3804347826086957,0.6,0.2282608695652173,0.5714285714285714,0.9166666666666666,이중취약,5072,195.0,155.0,0.0,111.0,11.0,52.0,10.0,4.0,0.0,7.0,111.0,11.0,4586,148.0,123.0,0.0,88.0,13.0,35.0,14.0,7.0,0.0,6.0,71.0,15.0,486,47.0,32.0,0.7065217391304348,0.5362318840579711,0.1702898550724637,1.2427536231884058,0.7589743589743589,0.05641025641025641,0.26666666666666666,0.5692307692307692,0.05128205128205128,0.035897435897435895,0.0,0.020512820512820513,0.05641025641025641,0.20512820512820518,False,True
2711056500,27110,중구,성내1동,18,7,12,10,7,12,14,80,37,43,238.0,218.0,2.0,0.0,0.0,0.0,238.0,218.0,2.0,60.0,1.0,178.0,1.0,2.975,0.9159663865546218,2.725,0.2521008403361344,0.8604651162790697,양호,4591,53.0,42.0,0.0,21.0,4.0,16.0,8.0,7.0,0.0,1.0,17.0,4.0,4169,45.0,34.0,0.0,16.0,8.0,10.0,3.0,3.0,0.0,4.0,21.0,4.0,422,8.0,8.0,0.6625,0.5625,0.1,1.225,0.8490566037735849,0.07547169811320754,0.3018867924528302,0.320754716981132,0.1509433962264151,0.018867924528301886,0.0,0.1320754716981132,0.07547169811320754,0.2075471698113207,True,False
2711057500,27110,중구,성내2동,77,74,58,56,78,52,85,480,209,271,306.0,260.0,4.0,20.0,20.0,1.0,286.0,240.0,3.0,36.0,1.0,270.0,3.0,0.6375,0.8496732026143791,0.5416666666666666,0.1176470588235294,0.7712177121771218,물리적부족,6253,399.0,350.0,1.0,201.0,8.0,58.0,10.0,8.0,0.0,11.0,249.0,63.0,3980,136.0,94.0,0.0,66.0,19.0,36.0,4.0,9.0,0.0,2.0,73.0,12.0,2273,263.0,256.0,0.83125,0.2833333333333333,0.5479166666666667,1.1145833333333333,0.3408521303258145,0.15789473684210525,0.14536340852130325,0.6240601503759399,0.02506265664160401,0.02756892230576441,0.0,0.020050125313283207,0.020050125313283207,0.1228070175438597,False,True
2711058500,27110,중구,성내3동,242,252,212,210,225,182,222,1545,706,839,372.0,348.0,6.0,312.0,289.0,5.0,60.0,59.0,1.0,217.0,4.0,155.0,2.0,0.2407766990291262,0.935483870967742,0.2252427184466019,0.5833333333333334,0.8414779499404053,물리적부족,7441,1259.0,1130.0,0.0,643.0,17.0,99.0,16.0,16.0,0.0,29.0,1084.0,15.0,3276,409.0,319.0,0.0,162.0,58.0,89.0,16.0,27.0,1.0,13.0,232.0,31.0,4165,850.0,811.0,0.8148867313915857,0.26472491909385115,0.5501618122977346,1.079611650485437,0.32486100079428115,0.011914217633042097,0.07863383637807785,0.8610007942811755,0.012708498808578236,0.023034154090548053,0.0,0.012708498808578236,0.013502779984114376,0.102462271644162,False,True
2711059500,27110,중구,대신동,67,73,49,51,49,63,45,397,189,208,397.0,310.0,5.0,157.0,132.0,4.0,240.0,178.0,1.0,43.0,1.0,354.0,4.0,1.0,0.7808564231738035,0.7808564231738035,0.1083123425692695,0.908653846153846,양호,2362,228.0,181.0,0.0,123.0,22.0,63.0,14.0,7.0,0.0,12.0,114.0,18.0,2308,294.0,249.0,0.0,145.0,24.0,51.0,27.0,6.0,0.0,20.0,168.0,22.0,54,-66.0,-68.0,0.5743073047858942,0.7405541561712846,-0.1662468513853904,1.314861460957179,1.2894736842105263,0.07894736842105263,0.27631578947368424,0.5,0.06140350877192982,0.05263157894736842,0.0,0.03070175438596491,0.09649122807017543,0.20614035087719296,False,True
2711064000,27110,중구,남산1동,25,19,26,35,37,40,33,215,70,145,87.0,50.0,2.0,87.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,87.0,2.0,0.4046511627906977,0.5747126436781609,0.2325581395348837,0.0,0.4827586206896552,이중취약,2582,173.0,152.0,0.0,78.0,5.0,21.0,7.0,1.0,0.0,8.0,119.0,17.0,2376,74.0,55.0,0.0,31.0,7.0,20.0,8.0,2.0,0.0,2.0,35.0,7.0,206,99.0,97.0,0.8046511627906977,0.34418604651162793,0.4604651162790698,1.1488372093023256,0.4277456647398844,0.09826589595375723,0.12138728323699421,0.6878612716763006,0.04046242774566474,0.046242774566473986,0.0,0.005780346820809248,0.028901734104046242,0.12138728323699421,False,True
2711065000,27110,중구,남산2동,83,98,80,50,60,57,77,505,261,244,450.0,312.0,5.0,260.0,227.0,4.0,190.0,85.0,1.0,80.0,2.0,370.0,3.0,0.8910891089108911,0.6933333333333334,0.6178217821782178,0.1777777777777777,1.069672131147541,물리적부족,3135,303.0,241.0,0.0,166.0,13.0,48.0,8.0,7.0,0.0,9.0,217.0,14.0,2836,284.0,239.0,0.0,159.0,20.0,47.0,23.0,15.0,0.0,14.0,158.0,27.0,299,19.0,2.0,0.6,0.5623762376237624,0.0376237623762376,1.1623762376237623,0.9372937293729373,0.0462046204620462,0.15841584158415842,0.7161716171617162,0.026402640264026403,0.0297029702970297,0.0,0.0231023102310231,0.0429042904290429,0.20462046204620465,False,True
2711066000,27110,중구,남산3동,29,31,24,24,24,24,19,175,84,91,418.0,393.0,3.0,282.0,270.0,2.0,136.0,123.0,1.0,0.0,0.0,418.0,3.0,2.388571428571429,0.9401913875598086,2.2457142857142856,0.0,0.9230769230769232,양호,1623,88.0,70.0,0.0,46.0,5.0,19.0,9.0,4.0,0.0,5.0,41.0,10.0,1836,148.0,125.0,0.0,65.0,10.0,29.0,10.0,5.0,0.0,3.0,92.0,9.0,-213,-60.0,-55.0,0.5028571428571429,0.8457142857142858,-0.3428571428571428,1.3485714285714283,1.6818181818181819,0.11363636363636363,0.2159090909090909,0.4659090909090909,0.10227272727272728,0.056818181818181816,0.0,0.045454545454545456,0.056818181818181816,0.20454545454545459,False,True
2711067000,27110,중구,남산4동,138,119,139,122,117,100,126,861,396,465,601.0,491.0,9.0,441.0,392.0,8.0,160.0,99.0,1.0,319.0,6.0,282.0,3.0,0.6980255516840883,0.8169717138103162,0.570267131242741,0.5307820299500832,0.8516129032258064,물리적부족,5335,723.0,595.0,0.0,341.0,41.0,168.0,58.0,25.0,0.0,42.0,380.0,50.0,4447,591.0,444.0,0.0,280.0,74.0,135.0,42.0,30.0,4.0,37.0,300.0,43.0,888,132.0,151.0,0.8397212543554007,0.686411149825784,0.1533101045296167,1.5261324041811846,0.8174273858921162,0.06915629322268327,0.23236514522821577,0.5255878284923928,0.08022130013831259,0.058091286307053944,0.0,0.034578146611341634,0.056708160442600276,0.1770401106500692,False,True
